rowId,source,campaign,startDate,endDate,nonSuspect,highRisk,suspect,total,clickClean,clickTotal,discrepancy,salesClean,salesTotal,prebidClean,prebidTotal,clickSuspect,salesSuspect,prebidSuspect,clickHighRisk,salesHighRisk,prebidHighRisk,nonSuspectRatio,suspectRatio,highRiskRatio,totalRisk,totalRiskRatio,clickCleanRatio,clickTotalRisk,clickTotalRiskRatio,clickRate,trueClickRate,discrepancyRatio,salesCleanRatio,salesTotalRisk,salesTotalRiskRatio,salesRate,prebidCleanRatio,prebidTotalRisk,prebidTotalRiskRatio,clickSuspectRatio,salesSuspectRatio,prebidSuspectRatio,clickHighRiskRatio,salesHighRiskRatio,prebidHighRiskRatio,rcDeviceReputationRatio,rcIpReputationRatio,rcProxyRatio,rcSpoofedRatio,rcHostingProviderRatio,rcAutomatedTrafficRatio,rcIdentifiedCrawlerRatio,mobileAttributionRiskRatio,totalAttributionRisk,highAttributionRisk,domain,subsource,sourceId,campaignId
88,5308,769,2017-03-21,2017-03-21,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,hpredirect,5308,769
89,5393,1055,2017-03-12,2017-04-10,90,0,0,90,0,0,90,90,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,v0ij.com,59563,5393,1055
90,5460,988,2017-03-20,2017-03-20,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"fb cta",5460,988
91,5393,1055,2017-03-12,2017-03-30,30,0,0,30,0,0,30,30,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,v0ij.com,60840,5393,1055
92,5468,964,2017-03-12,2017-04-10,52,1,1,54,0,0,54,52,54,0,0,0,1,0,0,1,0,0.962963,0.0185185,0.0185185,2,0.037037,0,0,0,0,0,1,0.962963,2,0.037037,1,0,0,0,0,0.0185185,0,0,0.0185185,0,0,0.0185185,0,0,0.0185185,0,0,,,,findlaw.com,latl,5468,964
93,5468,1039,2017-03-12,2017-04-10,19,0,0,19,0,0,20,19,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.05263,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,latl,5468,1039
94,5468,964,2017-03-15,2017-04-03,6,0,0,6,0,0,6,6,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,dir,5468,964
95,6170,1055,2017-03-29,2017-03-29,0,2,0,2,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,1,2,1,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,,,,,1628,6170,1055
96,5468,966,2017-03-13,2017-04-10,4,0,0,4,0,0,4,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,dir,5468,966
97,6189,1067,2017-04-05,2017-04-05,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,findlaw.com,latl,6189,1067
98,6170,1055,2017-03-31,2017-04-01,4,0,0,4,0,0,4,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,explorationability.com,309,6170,1055
99,6189,1067,2017-03-16,2017-04-09,3,1,0,4,0,0,4,3,4,0,0,0,0,0,0,1,0,0.75,0,0.25,1,0.25,0,0,0,0,0,1,0.75,1,0.25,1,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,,,,consumerinjurylaw.com,,6189,1067
100,5468,769,2017-03-19,2017-04-04,3,0,0,3,0,0,3,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,dir,5468,769
101,5468,256,2017-03-16,2017-04-05,6,0,1,7,0,0,7,6,7,0,0,0,1,0,0,0,0,0.857143,0.142857,0,1,0.142857,0,0,0,0,0,1,0.857143,1,0.142857,1,0,0,0,0,0.142857,0,0,0,0,0,0.142857,0,0,0,0,0,,,,,an,5468,256
102,5468,871,2017-03-15,2017-03-18,5,0,0,5,0,0,5,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,findlaw.com,,5468,871
